0.21,0.05,0.93
0.19,0.01,0.58
37.40,0.60,2.71
36.28,0.70,2.71
0.40,0.10,1.28
0.39,0.02,1.21
4.01,0.09,1.35
3.99,0.06,1.35
1.68,0.09,0.61
1.03,0.1,0.61
296.40,0.60,0.61
295.50,0.60,0.61
0.07,0.07,0.44
0.09,0.01,0.26
0.52,0.05,3.25
0.62,0.01,3.25
105.50,0.60,2.11
105.60,0.60,2.11
6.75,1.00,0.07
5.65,1.00,0.07
7.65,0.05,0.72
7.47,0.56,0.71
0.81,0.09,1.30
0.89,0.18,1.30
5.60,0.20,4.81
5.58,0.20,4.81
0.06,0.05,0.10
0.07,0.05,0.10
163.10,0.60,0.20
162.50,0.60,0.20
1.72,0.09,1.50
0.58,0.18,1.50
1.37,0.05,1.24
1.07,0.01,1.61
23.00,0.60,0.76
23.22,0.60,0.76
0.30,0.10,0.47
0.19,0.01,0.47
0.83,0.05,0.01
0.06,0.05,0.32
0.06,0.01,0.32
0.17,0.05,1.07
0.70,0.10,1.87
1.53,0.01,1.87
38.40,0.60,3.82
38.04,0.60,3.82
0.67,0.09,1.48
0.65,0.09,1.48
10.17,0.09,1.74
10.32,0.09,1.74
9.91,0.09,2.20
9.58,0.09,2.20
0.70,0.10,0.09
0.52,0.01,0.09
89.10,0.60,0.60
88.80,0.60,0.60
0.20,0.10,0.81
0.16,0.01,0.51
30.20,0.60,4.40
31.91,0.60,4.40
84.70,0.60,1.58
85.12,0.60,1.58
0.07,0.05,0.70
0.20,0.10,0.55
0.32,0.04,0.55
0.28,0.05,3.26
0.24,0.01,3.71
19.60,0.20,0.66
17.80,0.20,0.66
0.63,0.09,0.85
1.26,0.09,0.85
8.90,0.60,1.36
7.65,0.60,1.36
2.88,0.09,3.94
2.77,0.01,3.94
1.00,0.10,0.77
1.02,0.01,0.77
4.92,0.05,2.66
4.91,0.01,2.66
4.98,0.05,4.80
5.01,0.01,4.80
1.36,0.09,2.26
1.54,0.01,2.26
64.00,0.60,0.99
64.87,0.60,0.99
4.92,0.05,3.02
4.43,0.02,3.02
0.11,0.05,0.28
0.22,0.01,0.28
73.10,0.60,0.28
72.75,0.60,0.28
232.50,0.60,4.58
232.01,0.60,4.58
1.11,0.09,0.01
0.25,0.09,0.01
15.80,0.60,1.10
16.81,0.60,1.10
3.76,0.05,1.93
3.94,0.05,1.93
0.17,0.05,1.01
12.53,0.09,0.60
11.98,0.04,0.60
116.60,0.60,1.01
115.40,0.60,1.01
0.08,0.05,0.80
0.16,0.01,0.80
72.90,0.60,4.64
75.36,0.60,4.64
5.60,0.20,0.71
41.60,0.60,1.70
41.60,0.60,1.70
2.82,0.05,0.03
2.51,0.01,0.03
0.19,0.05,1.12
0.16,0.01,1.12
3.21,0.09,0.98
2.96,0.01,0.98
0.78,0.05,0.24
0.86,0.01,0.24
25.90,0.60,0.30
28.07,0.60,0.30
0.07,0.05,1.21
5.18,0.09,1.37
5.28,0.01,1.37
