Sp1,Sp2,M1,M2,psep,e_psep
"M4.0","M5.0",0.2,0.15,8.4,3.1
"M4.0","M5.0",0.2,0.15,7.1,2.6
"M2.5","M5.0",0.355,0.15,24.3,9.1
"M1.5","M4.0",0.48,0.2,25.3,9.3
"M1.5","M3.0",0.48,0.29,17.0,1.3
"M4.0","M4.5",0.2,0.175,7.6,0.9
"M4.0","M4.5",0.2,0.175,12.0,4.4
"M3.0","M4.0",0.29,0.2,38.5,14.2
"M2.5","M9.0",0.355,0.088,83.5,7.6
"M3.5","M5.5",0.245,0.135,11.2,4.2
"M3.0","M5.0",0.29,0.15,112.6,41.7
"M1.5","M3.5",0.48,0.245,108.9,40.3
"M3.0","M3.0",0.29,0.29,252.1,93.3
"M3.0","M5.5",0.29,0.135,7.6,2.8
"M3.0","M4.0",0.29,0.2,29.4,10.9
"M2.5","M3.0",0.355,0.29,44.4,5.6
"M6.0","M6.5",0.12,0.115,7.2,2.7
"M2.5","M2.5",0.355,0.355,91.4,33.8
"M1.5","M4.0",0.48,0.2,91.9,34.0
"M2.0","M3.0",0.42,0.29,86.2,31.8
"M3.5","M3.5",0.245,0.245,7.2,2.6
"M2.0","M4.0",0.42,0.2,372.1,137.7
"M2.0","M4.0",0.42,0.2,4.4,1.6
"M2.0","M4.0",0.42,0.2,44.1,16.3
"M3.5","M4.0",0.245,0.2,28.2,10.4
"M3.5","M4.5",0.245,0.175,202.9,75.1
"M1.5","M3.0",0.48,0.29,13.3,4.9
"M2.5","M3.5",0.355,0.245,39.2,14.6
"M5.0","M6.0",0.15,0.12,8.3,3.1
"M3.5","M4.5",0.245,0.175,7.1,2.6
"M1.5","M4.0",0.48,0.2,50.4,18.6
"K7.0","M2.0",0.63,0.42,178.2,65.9
"M3.0","M4.0",0.29,0.2,19.0,7.1
"M2.0","M4.0",0.42,0.2,5.8,2.1
"M2.0","M3.5",0.42,0.245,68.2,25.2
"M3.5","M4.0",0.245,0.2,29.3,10.9
"M4.0","M5.0",0.2,0.15,3.7,1.3
"M2.5","M2.5",0.355,0.355,149.3,55.2
"K5.0","M3.5",0.7,0.245,1836.0,679.0
"M2.0","M2.5",0.42,0.355,62.1,23.0
"M0.5","M2.0",0.565,0.42,449.2,166.2
"M4.5","M5.5",0.175,0.135,24.6,9.1
"M4.5","M5.0",0.175,0.15,5.7,2.1
"M2.5","M5.5",0.355,0.135,25.6,9.5
"M2.0","M4.0",0.42,0.2,18.8,7.0
"M4.0","M6.0",0.2,0.12,17.0,6.3
"M1.0","M8.0",0.54,0.102,197.3,73.0
"M2.5","M3.5",0.355,0.245,25.9,9.6
"K7.0","WD",0.63,,51.6,19.1
"M2.0","M5.5",0.42,0.135,12.8,4.7
"M2.0","M4.5",0.42,0.175,215.2,79.6
"M0.0","M2.5",0.59,0.355,7.1,2.6
"M4.0","M5.5",0.2,0.135,55.2,20.4
"M2.0","M3.0",0.42,0.29,1.3,0.1
"M3.0","M4.0",0.29,0.2,17.9,6.6
"M0.5","M1.5",0.565,0.48,60.1,22.2
"M3.0","M5.0",0.29,0.15,26.2,9.7
"M2.0","M2.0",0.42,0.42,95.2,35.2
"M0.5","M2.5",0.565,0.355,27.4,10.2
"K7.0","K7.5",0.63,0.61,64.6,23.8
"M0.5","M2.0",0.565,0.42,323.9,119.8
"M0.5","M1.5",0.565,0.48,65.9,24.4
"M0.0","M5.0",0.59,0.15,171.0,63.3
"M3.5","M4.5",0.245,0.175,16.5,1.4
"K5.0","K7.5",0.7,0.61,37.9,14.0
"M1.5","M4.0",0.48,0.2,10.8,4.0
"M1.5","M3.5",0.48,0.245,30.6,11.3
"M2.0","M4.0",0.42,0.2,3.3,1.2
"M2.5","M4.0",0.355,0.2,12.2,4.5
"M3.5","M4.5",0.245,0.175,42.6,15.7
"M3.5","M6.0",0.245,0.12,52.1,19.3
"M4.0","M4.5",0.2,0.175,8.4,3.1
"M2.5","M3.5",0.355,0.245,19.5,7.2
"M0.0","M2.0",0.59,0.42,5.4,2.0
"M3.5","M4.5",0.245,0.175,18.5,6.9
"M3.0","M4.0",0.29,0.2,3.5,1.3
"M3.5","M3.5",0.245,0.245,118.8,44.0
"M1.5","M2.5",0.48,0.355,95.0,35.1
"M3.5","M4.5",0.245,0.175,3.7,1.3
"M4.0","M4.5",0.2,0.175,22.5,8.3
"M0.0","M3.5",0.59,0.245,72.8,26.9
"K7.0","M3.5",0.63,0.245,20.7,7.6
"M3.0","M3.5",0.29,0.245,5.5,2.1
"M1.0","M3.0",0.54,0.29,573.2,212.1
"M1.5","M2.0",0.48,0.42,73.1,27.0
"M3.0","M3.0",0.29,0.29,23.5,2.1
"M4.0","M5.0",0.2,0.15,3.3,1.2
"M2.5","M3.0",0.355,0.29,56.3,20.9
"M3.5","M3.5",0.245,0.245,12.6,1.2
"M5.5","M5.5",0.135,0.135,40.4,14.9
"M0.0","M3.0",0.59,0.29,9.7,3.6
"M0.5","M1.5",0.565,0.48,15.8,2.7
"M3.0","M4.5",0.29,0.175,6.3,2.3
"M4.5","M6.0",0.175,0.12,3.2,1.2
"M3.0","M3.5",0.29,0.245,4.6,1.7
"M1.0","M3.5",0.54,0.245,6.4,2.3
"M1.0","M1.0",0.54,0.54,72.1,26.7
"M3.5","M4.5",0.245,0.175,6.7,2.4
"M4.0","M4.5",0.2,0.175,9.5,3.5
"M4.0","M5.5",0.2,0.135,13.6,5.1
"M2.0","M2.0",0.42,0.42,78.6,29.1
